Subject,101,104,106,108,111,118,121,122,123,125,126,128,129,132,135,137,110,115,119,130,131,136,138,139,140
Bcells_B_pPLCg2,-0.050797198,0.005916285,-0.007183398,-0.010134405,0.029234124,-0.021713421,-0.014628589,-0.030798404,0.01273721,-0.000711,0.011942741,0.005620251,-0.003603307,0.005652323,0.005685512,0.007234335,0.03125776,0.023812829,-0.03594203,-0.00309496,-0.00727291,0.00041496,0.015056236,-0.008610477,-0.077523507
Bcells_B_pP38,-0.006624099,-0.004074381,-0.000978572,-0.002761151,0.071016906,0.024450887,0.012265684,0.015971108,0.028077531,-0.007083167,-0.006310306,-0.000341373,0.004930233,0.013585324,0.000774039,0.002797817,0.012295171,0.010064612,0.001034904,0.004418883,0.023516017,0.001825602,0.014987553,0.007187195,0.016886522
Bcells_B_pSTAT5,-0.027993064,0.005701891,0.012151532,0.002344162,0.733149727,0.106928256,0.096735344,0.11793087,0.04037203,0.036107018,0.055706338,0.064828938,0.013028705,0.060240785,-0.000759544,0.01736979,0.089024936,0.045938216,0.081550845,0.022972431,0.025608641,0.034952231,0.158932403,0.21650092,0.328087768
Bcells_B_pMAPKAPK2,0.031817245,-0.020986029,-0.018165367,-0.003816232,0.052839644,0.012870911,0.097893108,0.035676159,0.049121402,-0.001785384,-0.023488394,0.007815761,-0.011886857,-0.018860043,-0.021320514,-0.005308638,0.065436301,-0.017775291,0.021771953,0.018328545,-0.024062439,0.018634553,-0.027509978,0.042416359,-0.010117013
Bcells_B_pERK,0.004029551,0.002386994,0.004551944,0.000888284,0.179938644,0.040244808,0.027990267,0.018255395,0.033985959,0.033550449,0.006602968,0.028573348,0.00033477,0.006306862,0.001625902,0.003135748,0.046932767,0.019056179,0.0158163,0.007501732,0.004114283,0.005257054,0.038811689,0.049715053,0.123114497
Bcells_B_pS6,0.009976532,-0.055149637,-0.003953278,0.024168827,0.224288588,0.115454658,0.046945928,0.04466591,0.028279348,0.048218998,0.043732234,0.060114044,0.02069431,0.050093508,-0.036004651,0.000319017,0.033553576,0.008220028,0.10796737,-0.018019163,0.014366472,0.020307155,0.012891723,0.050271141,0.168202703
Bcells_B_pP90RSK,-0.013038965,-0.001958778,0.003686143,-0.0023368,0.067048436,0.015484826,0.015280238,0.02350538,0.011824035,0.018586677,0.009540611,0.006234984,0.01207737,-0.000454162,-0.00060212,-0.001192436,0.026614216,0.007808907,0.019770128,0.009833064,-0.001332171,0.01222983,0.029920652,0.030975011,0.037666586
ClassicalMonocytes_B_pSTAT3,0.033798484,0.002570774,-0.000546816,-0.003274674,0.021741993,0.035379443,0.020801758,0.003239757,0.037399677,0.030451932,0.007931073,0.045906736,0.014456664,0.01058714,0.006319696,0.007566194,0.035616971,0.004783017,0.007461376,0.032095375,0.023325087,0.011215252,0.004726225,0.00309341,-0.062960869
ClassicalMonocytes_B_pSTAT1,0.113869314,0.141219406,0.071288471,0.094300177,0.218352598,0.349885118,0.02904019,0.075612989,0.146927484,0.158471625,0.133038917,0.140257744,0.132722224,0.161834318,0.198621434,0.116116758,0.195373877,0.155506643,0.140812118,0.079014134,0.059744987,0.130044302,0.239856989,0.213080875,0.298753453
ClassicalMonocytes_B_pCREB,0.292052653,0.360261168,0.331414756,0.377113244,0.59395113,0.547508079,0.310174733,0.218562686,0.497616293,0.549945498,0.370046736,0.543746987,0.30150298,0.425055105,0.423728557,0.288272771,0.481868057,0.296888361,0.425355462,0.174253393,0.246339381,0.375565774,0.224757429,0.248108939,0.266456592
ClassicalMonocytes_B_pNFkB,0.033994175,0.06161822,0.051831333,0.054938086,0.179735154,0.173853369,0.122992699,0.040099962,0.17408916,0.159777638,0.111109066,0.18217505,0.113061389,0.135514146,0.131602379,0.103945822,0.237584348,0.135899133,0.107930955,0.077096043,0.068248702,0.103197649,0.075402536,0.107747814,-0.024236248
ClassicalMonocytes_B_pPLCg2,-0.119639755,0.020235438,-0.072762272,-0.064272526,-0.09435309,-0.058053811,-0.117955355,-0.193051169,-0.056841815,-0.160252194,-0.033243859,-0.04909719,-0.04490426,-0.020586617,-0.035498102,0.053036991,-0.011877549,0.030883306,-0.172306156,-0.076184682,-0.070975378,-0.096175475,0.054539414,-0.131316214,-0.377471252
ClassicalMonocytes_B_pP38,0.059274385,0.163306316,0.209480318,0.125327881,0.440840854,0.460612332,0.203728423,0.223409675,0.327458856,0.33955552,0.153446689,0.256914878,0.201597307,0.310730033,0.288086477,0.075858703,0.40190797,0.231595377,0.215433094,-0.143247036,0.224666993,0.218757343,0.279310572,0.307056967,0.369663338
ClassicalMonocytes_B_pSTAT5,2.035608625,2.283759709,2.273410076,2.236095815,1.825617105,1.991126962,1.537825211,1.531634048,1.823899178,1.814355583,1.759198713,2.014098218,2.012959281,1.528907877,1.479473485,1.516828366,1.868673128,1.896437165,1.600131621,1.870687797,1.992879871,1.431001029,2.02972625,2.074951881,1.955064858
